pwsid,system_name,report_year,official_url,landing_page_url,format,status,priority_note
CA0110005,East Bay Municipal Utility District,2025,https://www.ebmud.com/download_file/force/58148/751?AWQR-2025-WEB.pdf=,https://www.ebmud.com/about-us/publications,pdf,ready_for_intake,Population-priority official 2025 PDF
OH1801212,Cleveland Public Water System,2025,https://www.clevelandwater.com/sites/default/files/2026-02/CWD_WaterQualityReport_2025_R5.pdf,https://www.clevelandwater.com/your-water/water-quality,pdf,ready_for_intake,Population-priority official 2025 PDF
TX0570004,Dallas Water Utility,2025,https://dallascityhall.com/departments/waterutilities/PublishingImages/pages/water_quality_reports/2025%20Water%20Quality%20Report.pdf,https://dallascityhall.com/departments/waterutilities/Pages/water_quality_reports.aspx,pdf,ready_for_intake,Population-priority official 2025 PDF
WA5377050,Seattle Public Utilities,2025,https://www.seattle.gov/utilities/about/reports/water-quality/monitoring-results,https://www.seattle.gov/utilities/about/reports/water-quality,html,validated,Official web-native tables admitted
IL0316000,Chicago,2025,https://gisapps.chicago.gov/gisimages/waterbooks_pdf/2025.pdf,https://www.chicago.gov/city/en/depts/water/supp_info/water_quality_resultsandreports/city_of_chicago_waterqualityreports.html,pdf,ready_for_intake,Official city annual water-quality PDF
OH2504412,Columbus Public Water System,2025,https://www.columbus.gov/files/sharedassets/city/v/6/services/public-utilities/water-reports/consumer-confidence-water-quality-report/consumer-confidence-report.pdf,https://www.columbus.gov/Services/Columbus-Water-Power/Information-for-Customers/Columbus-Water-Power-Forms-Documents/Water-Publications,pdf,ready_for_intake,Official 2025 city Consumer Confidence Report
VA6059501,Fairfax County Water Authority,2025,https://www.fairfaxwater.org/sites/default/files/ccr/Fairfax%20Water%202025%20CCR.pdf,https://www.fairfaxwater.org/water-quality/water-quality-reports,pdf,ready_for_intake,Official utility Consumer Confidence Report
NC0160010,Charlotte Water,2025,https://www.charlottenc.gov/water/Water-Quality,https://www.charlottenc.gov/water/Water-Quality,html,ready_for_intake,Official utility water-quality page with current report links and monitoring context
MD0150005,Washington Suburban Sanitary Commission,2025,https://www.wsscwater.com/annualreport,https://www.wsscwater.com/waterquality,html,ready_for_intake,Official utility 2025 water-quality report landing route
